stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
24,0.5,14.0,37.753293599933386,38.253696399973705,38.253696399973705,38.253696399973705,38.55376679985784,right,14.0,1,1,0.3529815000947565,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
25,0.5,14.0,38.63864229992032,39.15283629996702,39.13708179979585,39.13708179979585,39.4373053999152,right,14.0,0,0,0.2903939001262188,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
26,0.5,14.5,39.453068799804896,39.954736799933016,39.9382455998566,39.9382455998566,40.238162599969655,right,14.5,1,1,0.3035132000222802,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
27,0.5,14.5,40.27139849984087,40.78816429991275,40.78816429991275,40.78816429991275,41.08773129992187,left,-14.5,1,1,0.49291630019433796,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
28,0.5,14.5,41.304835099959746,41.805036399979144,41.78818969987333,41.78818969987333,,left,-14.5,0,0,0.14330420014448464,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
29,0.5,15.0,41.95425229985267,42.45360239990987,42.45360239990987,42.45360239990987,42.754876899998635,right,15.0,0,0,0.28252520016394556,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
30,0.5,15.5,42.754876899998635,43.25541859981604,43.25541859981604,43.25541859981604,,left,-15.5,1,1,0.12259640009142458,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
31,0.5,15.5,43.40431239991449,43.90491939987987,43.90491939987987,43.90491939987987,,left,-15.5,0,0,0.24521170021034777,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
32,0.5,16.0,44.17122539994307,44.67201599990949,44.67201599990949,44.67201599990949,44.971912199864164,left,-16.0,1,1,0.4492904001381248,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
33,0.5,16.0,45.13667679997161,45.638242200016975,45.638242200016975,45.638242200016975,45.93783800001256,right,16.0,1,1,0.5551474001258612,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
34,0.5,16.0,46.22079960000701,46.722666499903426,46.722666499903426,46.722666499903426,47.021219099871814,right,16.0,0,0,0.2772678001783788,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
35,0.5,16.5,47.021219099871814,47.520612199790776,47.520612199790776,47.520612199790776,47.82129849982448,right,16.5,1,1,0.7699601002968848,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
36,0.5,16.5,48.32176129985601,48.82097000000067,48.804705099901184,48.804705099901184,49.105120399966836,right,16.5,1,1,0.36791060003452003,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
37,0.5,16.5,49.18808399979025,49.68845919985324,49.68845919985324,49.68845919985324,49.98842049995437,left,-16.5,1,1,0.5211777002550662,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
38,0.5,16.0,50.23821370000951,50.73829759983346,50.73829759983346,50.73829759983346,51.039640499977395,left,-16.0,1,1,0.34210480004549026,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
39,0.5,16.0,51.104209600016475,51.60521199996583,51.60521199996583,51.60521199996583,51.9048983999528,right,16.0,1,1,0.4041109001263976,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
40,0.5,16.0,52.03821019991301,52.53847199981101,52.52163430000655,52.52163430000655,52.822238999884576,left,-16.0,1,1,0.42015619995072484,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
41,0.5,15.5,52.97138649993576,53.471999699948356,53.471999699948356,53.471999699948356,53.77209759992547,left,-15.5,1,1,0.44835700024850667,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
42,0.5,15.5,53.93889529979788,54.43851669994183,54.43851669994183,54.43851669994183,54.73803739994764,right,15.5,0,0,0.5071325001772493,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
43,0.5,16.0,54.971744699869305,55.47191009996459,55.47191009996459,55.47191009996459,55.77098899986595,right,16.0,1,1,0.45220910012722015,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
44,0.5,16.0,55.955497899791226,56.455516799818724,56.438242399832234,56.438242399832234,56.73834989988245,right,16.0,0,0,0.3090008001308888,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
45,0.5,16.5,56.77175519987941,57.27195929992013,57.25512059987523,57.25512059987523,57.554999199928716,left,-16.5,1,1,0.4807229000143707,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
46,0.5,16.5,57.755753699922934,58.25579570000991,58.25579570000991,58.25579570000991,,right,16.5,1,1,0.1056060001719743,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
47,0.5,16.5,58.38795239990577,58.88861919986084,58.871718999929726,58.871718999929726,59.17189549980685,right,16.5,1,1,0.4914772999472916,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
48,0.5,16.0,59.38789139990695,59.88821819983423,59.872005000011995,59.872005000011995,60.17221869993955,right,16.0,1,1,0.34045230015181005,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
49,0.5,16.0,60.269014599965885,60.77187229995616,60.75492489989847,60.75492489989847,61.05547369993292,left,-16.0,0,0,0.27853490016423166,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
