stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
32,0.5,6.0,65.28769300039858,65.76997720031068,65.76997720031068,65.80262500001118,right,6.0,1,1,0.3159453999251127,66.0694322003983,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
33,0.5,6.0,66.10313560022041,66.60279670031741,66.60279670031741,66.60279670031741,left,-6.0,1,1,0.6310463999398053,66.90452240034938,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
34,0.5,5.5,67.25378999998793,67.73535370035097,67.73535370035097,67.7697065002285,right,5.5,1,1,0.33313729986548424,68.03550450038165,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
35,0.5,5.5,68.08721880009398,68.56956820003688,68.56956820003688,68.58785920031369,right,5.5,1,1,0.5938091999851167,68.86963960016146,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
36,0.5,5.5,69.18813520018011,69.66972979996353,69.66972979996353,69.70298820035532,right,5.5,1,1,0.4234036998823285,69.96966100018471,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
37,0.5,5.0,70.12055150000378,70.60267250007018,70.60267250007018,70.63572100037709,left,-5.0,1,1,0.44268300011754036,70.90460450015962,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
38,0.5,5.0,71.07002610014752,71.56981110014021,71.56981110014021,71.56981110014021,left,-5.0,0,0,0.35557670006528497,71.86917870026082,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
39,0.5,5.5,71.95476140035316,72.43606570037082,72.43606570037082,72.46950960019603,right,5.5,1,1,0.6376841999590397,72.73605399997905,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
40,0.5,5.5,73.10231300024316,73.6025566002354,73.6025566002354,73.6025566002354,right,5.5,1,1,0.5283150998875499,73.90322200022638,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
41,0.5,5.5,74.1543696001172,74.63633540039882,74.63633540039882,74.66959389997646,left,-5.5,1,1,0.34128859965130687,74.93565240036696,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
42,0.5,5.0,75.0024399003014,75.50219070026651,75.50219070026651,75.50219070026651,right,5.0,1,1,0.4825423997826874,75.80333280004561,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
43,0.5,5.0,76.0023392001167,76.50317110028118,76.50317110028118,76.50317110028118,left,-5.0,1,1,0.3180895000696182,76.80227570002899,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
44,0.5,5.0,76.8363096001558,77.33572430023924,77.33572430023924,77.33572430023924,right,5.0,1,1,0.38412969978526235,77.63565480010584,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
45,0.5,4.5,77.73527109995484,78.23676710017025,78.23676710017025,78.23676710017025,left,-4.5,1,1,0.31259019998833537,78.5354182003066,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
46,0.5,4.5,78.57014980027452,79.069180900231,79.069180900231,79.069180900231,left,-4.5,0,0,0.3741194000467658,79.37057390017435,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
47,0.5,5.0,79.47046280000359,79.96942780027166,79.96942780027166,79.96942780027166,right,5.0,1,1,0.7283910997211933,80.26904290029779,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
48,0.5,5.0,80.72096950002015,81.20328050013632,81.20328050013632,81.23588050017133,right,5.0,0,0,0.2968570999801159,81.50375939998776,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
49,0.5,5.5,81.52262150030583,82.02098730020225,82.02098730020225,82.03597850026563,right,5.5,1,1,0.5035346001386642,82.322636900004,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
